./vl805-000137ad.bin:     file format binary
Disassembly of section .data:
0x7ffffff8 <.data>:
0x7ffffff8:	0d 08             	ld r13,(r0)
0x7ffffffa:	59 b1 00 00       	cmp sp,0
0x7ffffffe:	00 00             	bkpt
0x80000000:	00 80 30 00       	addcmpbeq r0,r0,r0,0x80000060
0x80000004:	31 80 6c 1c       	addcmpbeq r1,r3,r7,0x800000dc
0x80000008:	05 00             	di
0x8000000a:	18 00             	*unknown*
0x8000000c:	c2 42             	add r2,r12
0x8000000e:	e5 dc             	*unknown*
0x80000010:	00 00             	bkpt
0x80000012:	01 22             	ld r1,(r0+0x8)
0x80000014:	00 00             	bkpt
0x80000016:	00 40             	mov r0,r0
0x80000018:	00 00             	bkpt
0x8000001a:	00 00             	bkpt
0x8000001c:	00 00             	bkpt
0x8000001e:	00 00             	bkpt
0x80000020:	00 00             	bkpt
0x80000022:	00 00             	bkpt
0x80000024:	00 00             	bkpt
0x80000026:	00 00             	bkpt
0x80000028:	00 00             	bkpt
0x8000002a:	00 00             	bkpt
0x8000002c:	00 00             	bkpt
0x8000002e:	00 00             	bkpt
0x80000030:	00 00             	bkpt
0x80000032:	00 00             	bkpt
0x80000034:	00 00             	bkpt
0x80000036:	00 00             	bkpt
0x80000038:	00 00             	bkpt
0x8000003a:	00 00             	bkpt
0x8000003c:	00 00             	bkpt
0x8000003e:	00 00             	bkpt
0x80000040:	00 00             	bkpt
0x80000042:	00 00             	bkpt
0x80000044:	00 00             	bkpt
0x80000046:	00 00             	bkpt
0x80000048:	00 00             	bkpt
0x8000004a:	00 00             	bkpt
0x8000004c:	00 00             	bkpt
0x8000004e:	00 00             	bkpt
0x80000050:	00 00             	bkpt
0x80000052:	00 00             	bkpt
0x80000054:	00 00             	bkpt
0x80000056:	00 00             	bkpt
0x80000058:	00 00             	bkpt
0x8000005a:	00 00             	bkpt
0x8000005c:	00 00             	bkpt
0x8000005e:	00 00             	bkpt
0x80000060:	00 00             	bkpt
0x80000062:	00 00             	bkpt
0x80000064:	00 00             	bkpt
0x80000066:	00 00             	bkpt
0x80000068:	00 00             	bkpt
0x8000006a:	00 00             	bkpt
0x8000006c:	00 00             	bkpt
0x8000006e:	00 00             	bkpt
0x80000070:	00 00             	bkpt
0x80000072:	00 00             	bkpt
0x80000074:	00 00             	bkpt
0x80000076:	00 00             	bkpt
0x80000078:	02 21             	ld r2,(r0+0x4)
0x8000007a:	91 02             	stm r0-r17,(--sp)
0x8000007c:	23 6c             	btest r3,0x2
0x8000007e:	ab 07             	st r11,(sp+0x68)
0x80000080:	aa 06             	st r10,(sp+0x28)
0x80000082:	e4 fd fc c3 ed 9b 	vmulhdt.ss HY(15++,0)+r9,-,r4+109 REP16 SETF CLRA USUB
0x80000088:	ec 9a 50 09 
0x8000008c:	12 1b             	bvs 0x800000b0
0x8000008e:	e8 bd             	*unknown*
0x80000090:	00 01             	*unknown*
0x80000092:	0c 80 f0 22       	addcmpbeq r12,r0,r8,0x7ffffe72
0x80000096:	22 00             	swi r2
0x80000098:	e4 f5 0a f5 0b f5 	vmulhdt.ss -,V(47,16),0xb IFZ
0x8000009e:	0c f5 0d 12 24 c8 	v16adds V(0,8)+r4,V(28,16)+r4,V(32,4)
0x800000a4:	43 5d             	brev r3,r4
0x800000a6:	80 12             	lea r0,(sp+0x50)
0x800000a8:	1e d2             	*unknown*
0x800000aa:	12 24             	ld r2,(r1+0x10)
0x800000ac:	0e d2             	*unknown*
0x800000ae:	af d2             	*unknown*
0x800000b0:	a8 e5             	*unknown*
0x800000b2:	4f b4 01 25       	add r15,r2,9473
0x800000b6:	d3 e5             	*unknown*
0x800000b8:	0d 94 f4 e5       	bmi 0x801bcca0
0x800000bc:	0c 64             	mul r12,0x0
0x800000be:	80 94 81 40       	bl 0x840081c0
0x800000c2:	10 90 20 b1       	beq 0x80216302
0x800000c6:	e0 54             	bitflip r0,r14
0x800000c8:	df f0 e0 44 60 f0 	vec48 0xdf,0xf06044e0
0x800000ce:	e4 f5 0c f5 0d 05 	vmulhdt.ss -,V(0,16)+r4,0xd IFZ
0x800000d4:	0d e5 0d 70 02 05 	lea r13,0x850270e1
0x800000da:	0c e5 50 30 e3 10 	lea r12,0x90e3312a
0x800000e0:	c2 af             	*unknown*
0x800000e2:	c2 a8 53 50       	ldsh r2,(gp+20563)
0x800000e6:	f7 12             	lea r23,(sp+0x5c)
0x800000e8:	21 52             	bitclear r1,r2
0x800000ea:	12 20             	ld r2,(r1+0x0)
0x800000ec:	75 02             	ldm gp-r13,(sp++)
0x800000ee:	01 48             	not r1,r0
0x800000f0:	e5 50             	bitset r5,r14
0x800000f2:	30 e2             	*unknown*
0x800000f4:	10 c2             	*unknown*
0x800000f6:	af c2             	*unknown*
0x800000f8:	a8 53             	addscale r8,r10<<1
0x800000fa:	50 fb 12 24 ad 12 	v32mem26 H(16,16)+r5,H(33++,33)+r8,HX(45++,32)+r0
0x80000100:	21 52 02 01 
0x80000104:	48 e5             	*unknown*
0x80000106:	50 30             	st r0,(r5+0x0)
0x80000108:	e0 0f             	ldsb r0,(r14)
0x8000010a:	53 50             	bitset r3,r5
0x8000010c:	fe 53             	addscale r14,r15<<1
0x8000010e:	50 fd 53 50 7f 12 	v16rsubc V(0,33++)+r0,H(49++,35)+r8,VX(48,15++)+r0
0x80000114:	23 0a 02 01 
0x80000118:	70 e5             	*unknown*
0x8000011a:	50 30             	st r0,(r5+0x0)
0x8000011c:	e1 75             	bitflip r1,0x1e
0x8000011e:	05 0b             	sth r5,(r0)
0x80000120:	e5 0b             	sth r5,(r14)
0x80000122:	70 02             	ldm gp-r8,(sp++)
0x80000124:	05 0a             	ldh r5,(r0)
0x80000126:	64 01             	*unknown*
0x80000128:	45 0a             	ldh r5,(r4)
0x8000012a:	70 52             	bitclear r0,r7
0x8000012c:	f5 08             	ld r5,(r15)
0x8000012e:	75 09             	st r5,(r7)
0x80000130:	01 af             	*unknown*
0x80000132:	09 ef 25 e0 f5 12 	add r9,gp,0x12f5e025
0x80000138:	e5 09             	st r5,(r14)
0x8000013a:	24 39             	st r4,(r2+0x24)
0x8000013c:	fd e5             	*unknown*
0x8000013e:	08 34             	st r8,(r0+0x10)
0x80000140:	20 f5 0e 8d 0f e5 	v16sub HX(52,0),H(46,16)+r0,0xf IFZ
0x80000146:	12 24             	ld r2,(r1+0x10)
0x80000148:	42 fd e4 34 20 f5 	v16rsub V(16,19++)+r8*,VX(15,0)+r4*,17696 REP4 IFN CLRA UADDH
0x8000014e:	10 8d 11 8d 
0x80000152:	82 f5 83 e0 20 e0 	vmull.ss -,H(62,0),H(32,0)
0x80000158:	04 e0             	*unknown*
0x8000015a:	30 e2             	*unknown*
0x8000015c:	13 12             	lea r19,(sp+0x40)
0x8000015e:	21 23             	ld r1,(r2+0xc)
0x80000160:	74 80 f0 74       	addcmpbeq r4,7,r13,0x80000340
0x80000164:	01 a8 07 08       	ld r1,(gp+2055)
0x80000168:	80 02             	stm r0,(--sp)
0x8000016a:	c3 33             	st r3,(r12+0xc)
0x8000016c:	d8 fc 42 5e 05 09 	v16dists V(48,41++)+r0,H(32++,5)+r7,H(5,32)+r12 SETF
0x80000172:	e5 09 70 02 
0x80000176:	05 08             	ld r5,(r0)
0x80000178:	64 05             	ld r4,(sp+0x58)
0x8000017a:	45 08             	ld r5,(r4)
0x8000017c:	70 b3 d3 e5       	msb r16,-6701
0x80000180:	0b 94 e8 e5       	bmi 0x8017cd50
0x80000184:	0a 64             	mul r10,0x0
0x80000186:	80 94 83 40       	bl 0x8400828c
0x8000018a:	5d 12             	lea r29,(sp+0x48)
0x8000018c:	21 52             	bitclear r1,r2
0x8000018e:	12 1c             	bhi 0x800001b2
0x80000190:	76 80 55 e5       	addcmpbeq r6,7,0x25,0x8000023a
0x80000194:	50 30             	st r0,(r5+0x0)
0x80000196:	e7 08             	ld r7,(r14)
0x80000198:	53 50             	bitset r3,r5
0x8000019a:	7f 12             	lea pc,(sp+0x4c)
0x8000019c:	24 d7             	*unknown*
0x8000019e:	80 48             	not r0,r8
0x800001a0:	e5 50             	bitset r5,r14
0x800001a2:	30 e4             	*unknown*
0x800001a4:	0c c2             	*unknown*
0x800001a6:	af c2             	*unknown*
0x800001a8:	a8 53             	addscale r8,r10<<1
0x800001aa:	50 ef 12 22 1d 80 	add r16,lr,0x801d2212
0x800001b0:	0f e5 50 30 e5 10 	lea r15,0x90e53200
0x800001b6:	c2 af             	*unknown*
0x800001b8:	c2 a8 53 50       	ldsh r2,(gp+20563)
0x800001bc:	df 12             	lea pc,(sp+0x58)
0x800001be:	23 de             	*unknown*
0x800001c0:	d2 af             	*unknown*
0x800001c2:	d2 a8 80 22       	ldsh r18,(gp+8832)
0x800001c6:	e5 50             	bitset r5,r14
0x800001c8:	30 e6 08 53 50 bf 	st r16,(r23+-11513080)
0x800001ce:	12 00             	*unknown*
0x800001d0:	1e 80 15 e5       	addcmpbeq r14,1,0x25,0x800001fa
0x800001d4:	43 30             	st r3,(r4+0x0)
0x800001d6:	e0 08             	ld r0,(r14)
0x800001d8:	53 43             	bic r3,r5
0x800001da:	fe 12             	lea sr,(sp+0x5c)
0x800001dc:	23 a7             	*unknown*
0x800001de:	80 08             	ld r0,(r8)
0x800001e0:	e5 43             	bic r5,r14
0x800001e2:	30 e1             	*unknown*
0x800001e4:	03 53             	addscale r3,r0<<1
0x800001e6:	43 fd 12 22 a5 75 	v16rsub H(8,16)+r2,H(39,34)+r0*,54693 REP8 SUMS r5
0x800001ec:	12 20 75 13 
0x800001f0:	fe 85 13 82       	addcmpbpl r14,r15,0x2,0x80000216
